#Hora	Tsa	Ta	T_n	DeltaT_n	Twallint	Tint
#[h]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.000000	24.047281	24.047281	28.539150	2.250000	30.709172	28.539150
0.166667	23.582218	23.582218	28.539150	2.250000	30.566764	28.539150
0.333333	23.123691	23.123691	28.539150	2.250000	30.424047	28.539150
0.500000	22.672403	22.672403	28.539150	2.250000	30.281059	28.539150
0.666667	22.229045	22.229045	28.539150	2.250000	30.137863	28.539150
0.833333	21.794296	21.794296	28.539150	2.250000	29.994538	28.539150
1.000000	21.368823	21.368823	28.539150	2.250000	29.851180	28.539150
1.166667	20.953276	20.953276	28.539150	2.250000	29.707893	28.539150
1.333333	20.548292	20.548292	28.539150	2.250000	29.564792	28.539150
1.500000	20.154491	20.154491	28.539150	2.250000	29.421997	28.539150
1.666667	19.772477	19.772477	28.539150	2.250000	29.279635	28.539150
1.833333	19.402835	19.402835	28.539150	2.250000	29.137840	28.539150
2.000000	19.046130	19.046130	28.539150	2.250000	28.996747	28.539150
2.166667	18.702910	18.702910	28.539150	2.250000	28.856498	28.539150
2.333333	18.373699	18.373699	28.539150	2.250000	28.717237	28.539150
2.500000	18.059003	18.059003	28.539150	2.250000	28.579110	28.539150
2.666667	17.759302	17.759302	28.539150	2.250000	28.442265	28.539150
2.833333	17.475057	17.475057	28.539150	2.250000	28.306854	28.539150
3.000000	17.206702	17.206702	28.539150	2.250000	28.173028	28.539150
3.166667	16.954648	16.954648	28.539150	2.250000	28.040937	28.539150
3.333333	16.719282	16.719282	28.539150	2.250000	27.910735	28.539150
3.500000	16.500964	16.500964	28.539150	2.250000	27.782574	28.539150
3.666667	16.300029	16.300029	28.539150	2.250000	27.656604	28.539150
3.833333	16.116783	16.116783	28.539150	2.250000	27.532975	28.539150
4.000000	15.951508	15.951508	28.539150	2.250000	27.411837	28.539150
4.166667	15.804457	15.804457	28.539150	2.250000	27.293338	28.539150
4.333333	15.675856	15.675856	28.539150	2.250000	27.177621	28.539150
4.500000	15.565900	15.565900	28.539150	2.250000	27.064829	28.539150
4.666667	15.474759	15.474759	28.539150	2.250000	26.955103	28.539150
4.833333	15.402572	15.402572	28.539150	2.250000	26.848580	28.539150
5.000000	15.349450	15.349450	28.539150	2.250000	26.745392	28.539150
5.166667	15.315473	15.315473	28.539150	2.250000	26.645671	28.539150
5.333333	15.300695	15.300695	28.539150	2.250000	26.549543	28.539150
5.500000	15.374434	15.308149	28.539150	2.250000	26.457129	28.539150
5.666667	15.502514	15.345666	28.539150	2.250000	26.368571	28.539150
5.833333	15.660728	15.413562	28.539150	2.250000	26.284123	28.539150
6.000000	15.848769	15.511671	28.539150	2.250000	26.204112	28.539150
6.166667	16.066259	15.639755	28.539150	2.250000	26.128886	28.539150
6.333333	16.312746	15.797504	28.539150	2.250000	26.058779	28.539150
6.500000	16.587709	15.984534	28.539150	2.250000	25.994101	28.539150
6.666667	16.890556	16.200391	28.539150	2.250000	25.935138	28.539150
6.833333	17.220627	16.444549	28.539150	2.250000	25.882145	28.539150
7.000000	17.577194	16.716417	28.539150	2.250000	25.835363	28.539150
7.166667	17.959464	17.015334	28.539150	2.250000	25.794979	28.539150
7.333333	18.366581	17.340572	28.539150	2.250000	25.761155	28.539150
7.500000	18.797626	17.691343	28.539150	2.250000	25.734060	28.539150
7.666667	19.251623	18.066794	28.539150	2.250000	25.713823	28.539150
7.833333	19.727535	18.466012	28.539150	2.250000	25.700552	28.539150
8.000000	20.224274	18.888029	28.539150	2.250000	25.694331	28.539150
8.166667	20.740698	19.331818	28.539150	2.250000	25.695226	28.539150
8.333333	21.275614	19.796302	28.539150	2.250000	25.703280	28.539150
8.500000	21.827784	20.280352	28.539150	2.250000	25.718518	28.539150
8.666667	22.395926	20.782793	28.539150	2.250000	25.740944	28.539150
8.833333	22.978716	21.302402	28.539150	2.250000	25.770543	28.539150
9.000000	23.574793	21.837919	28.539150	2.250000	25.807282	28.539150
9.166667	24.182762	22.388042	28.539150	2.250000	25.851109	28.539150
9.333333	24.801196	22.951434	28.539150	2.250000	25.901953	28.539150
9.500000	25.428640	23.526727	28.539150	2.250000	25.959724	28.539150
9.666667	26.063614	24.112523	28.539150	2.250000	26.024316	28.539150
9.833333	26.704619	24.707400	28.539150	2.250000	26.095602	28.539150
10.000000	27.350138	25.309911	28.539150	2.250000	26.173441	28.539150
10.166667	27.998639	25.918593	28.539150	2.250000	26.257673	28.539150
10.333333	28.648581	26.531968	28.539150	2.250000	26.348119	28.539150
10.500000	29.298417	27.148545	28.539150	2.250000	26.444585	28.539150
10.666667	29.946598	27.766825	28.539150	2.250000	26.546858	28.539150
10.833333	30.591574	28.385308	28.539150	2.250000	26.654710	28.539150
11.000000	31.231802	29.002490	28.539150	2.250000	26.767893	28.539150
11.166667	31.865745	29.616873	28.539150	2.250000	26.886140	28.539150
11.333333	32.491881	30.226963	28.539150	2.250000	27.009168	28.539150
11.500000	33.108703	30.831278	28.539150	2.250000	27.136682	28.539150
11.666667	33.714723	31.428350	28.539150	2.250000	27.268069	28.539150
11.833333	34.308475	32.016729	28.539150	2.250000	27.403359	28.539150
12.000000	34.888523	32.594985	28.539150	2.250000	27.542466	28.539150
12.166667	35.790822	33.161713	28.539150	2.250000	27.685177	28.539150
12.333333	36.676069	33.715537	28.539150	2.250000	27.831392	28.539150
12.500000	37.542361	34.255110	28.539150	2.250000	27.981396	28.539150
12.666667	38.387838	34.779123	28.539150	2.250000	28.135614	28.539150
12.833333	39.210685	35.286302	28.539150	2.250000	28.294412	28.539150
13.000000	40.009138	35.775414	28.539150	2.250000	28.458033	28.539150
13.166667	40.781486	36.245272	28.539150	2.250000	28.626573	28.539150
13.333333	41.526074	36.694735	28.539150	2.250000	28.799990	28.539150
13.500000	42.241309	37.122709	28.539150	2.250000	28.978116	28.539150
13.666667	42.925664	37.528155	28.539150	2.250000	29.160681	28.539150
