Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
[W/m2]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.00	26.92	26.92	28.17	29.65	29.21	29.21	1.25
0.00	26.72	26.72	27.99	29.62	29.21	29.21	1.25
0.00	26.53	26.53	27.81	29.58	29.21	29.21	1.25
0.00	26.34	26.34	27.63	29.54	29.21	29.21	1.25
0.00	26.15	26.15	27.46	29.50	29.21	29.21	1.25
0.00	25.97	25.97	27.29	29.46	29.21	29.21	1.25
0.00	25.79	25.79	27.12	29.43	29.21	29.21	1.25
0.00	25.61	25.61	26.95	29.39	29.21	29.21	1.25
0.00	25.45	25.45	26.79	29.35	29.21	29.21	1.25
0.00	25.28	25.28	26.62	29.31	29.21	29.21	1.25
0.00	25.12	25.12	26.47	29.27	29.21	29.21	1.25
0.00	24.97	24.97	26.31	29.24	29.21	29.21	1.25
0.00	24.82	24.82	26.16	29.20	29.21	29.21	1.25
0.00	24.67	24.67	26.02	29.16	29.21	29.21	1.25
0.00	24.54	24.54	25.87	29.13	29.21	29.21	1.25
0.00	24.40	24.40	25.73	29.09	29.21	29.21	1.25
0.00	24.28	24.28	25.60	29.06	29.21	29.21	1.25
0.00	24.16	24.16	25.47	29.02	29.21	29.21	1.25
0.00	24.04	24.04	25.35	28.99	29.21	29.21	1.25
0.00	23.94	23.94	25.23	28.95	29.21	29.21	1.25
0.00	23.84	23.84	25.11	28.92	29.21	29.21	1.25
0.00	23.75	23.75	25.00	28.89	29.21	29.21	1.25
0.00	23.66	23.66	24.90	28.85	29.21	29.21	1.25
0.00	23.58	23.58	24.80	28.82	29.21	29.21	1.25
0.00	23.51	23.51	24.71	28.79	29.21	29.21	1.25
0.00	23.44	23.44	24.62	28.76	29.21	29.21	1.25
0.00	23.39	23.39	24.54	28.73	29.21	29.21	1.25
0.00	23.34	23.34	24.47	28.70	29.21	29.21	1.25
0.00	23.30	23.30	24.40	28.68	29.21	29.21	1.25
0.00	23.26	23.26	24.33	28.65	29.21	29.21	1.25
0.00	23.23	23.23	24.28	28.63	29.21	29.21	1.25
0.00	23.22	23.22	24.23	28.60	29.21	29.21	1.25
0.00	23.20	23.20	24.18	28.58	29.21	29.21	1.25
0.00	23.20	23.20	24.15	28.56	29.21	29.21	1.25
6.96	23.37	23.21	24.14	28.53	29.21	29.21	1.25
13.92	23.56	23.24	24.16	28.51	29.21	29.21	1.25
20.85	23.76	23.28	24.21	28.50	29.21	29.21	1.25
27.75	23.98	23.34	24.29	28.48	29.21	29.21	1.25
34.61	24.22	23.42	24.39	28.46	29.21	29.21	1.25
41.40	24.48	23.52	24.51	28.45	29.21	29.21	1.25
48.14	24.74	23.63	24.65	28.44	29.21	29.21	1.25
54.79	25.03	23.76	24.80	28.43	29.21	29.21	1.25
61.35	25.33	23.91	24.97	28.42	29.21	29.21	1.25
67.82	25.64	24.07	25.16	28.42	29.21	29.21	1.25
74.17	25.96	24.25	25.37	28.42	29.21	29.21	1.25
80.41	26.30	24.44	25.58	28.43	29.21	29.21	1.25
86.51	26.65	24.65	25.82	28.44	29.21	29.21	1.25
92.48	27.00	24.87	26.06	28.45	29.21	29.21	1.25
98.29	27.37	25.10	26.32	28.46	29.21	29.21	1.25
103.95	27.75	25.35	26.58	28.48	29.21	29.21	1.25
109.43	28.13	25.61	26.86	28.50	29.21	29.21	1.25
114.74	28.52	25.87	27.15	28.52	29.21	29.21	1.25
119.86	28.92	26.15	27.45	28.55	29.21	29.21	1.25
124.79	29.32	26.44	27.75	28.58	29.21	29.21	1.25
129.52	29.72	26.73	28.06	28.61	29.21	29.21	1.25
134.03	30.12	27.03	28.38	28.65	29.21	29.21	1.25
138.33	30.53	27.34	28.70	28.69	29.21	29.21	1.25
142.40	30.94	27.65	29.03	28.73	29.21	29.21	1.25
146.25	31.34	27.97	29.37	28.77	29.21	29.21	1.25
149.85	31.75	28.29	29.70	28.82	29.21	29.21	1.25
153.21	32.15	28.61	30.04	28.87	29.21	29.21	1.25
156.33	32.54	28.94	30.38	28.92	29.21	29.21	1.25
161.82	33.00	29.26	30.72	28.97	29.21	29.21	1.25
166.85	33.44	29.59	31.08	29.03	29.21	29.21	1.25
171.38	33.87	29.91	31.44	29.08	29.21	29.21	1.25
175.40	34.28	30.23	31.80	29.14	29.21	29.21	1.25
178.89	34.68	30.55	32.15	29.20	29.21	29.21	1.25
181.85	35.06	30.86	32.50	29.26	29.21	29.21	1.25
184.28	35.42	31.17	32.85	29.33	29.21	29.21	1.25
186.18	35.77	31.47	33.19	29.39	29.21	29.21	1.25
187.53	36.09	31.76	33.52	29.46	29.21	29.21	1.25
188.34	36.40	32.05	33.83	29.52	29.21	29.21	1.25
188.62	36.68	32.33	34.14	29.59	29.21	29.21	1.25
188.34	36.94	32.59	34.43	29.66	29.21	29.21	1.25
187.53	37.18	32.85	34.71	29.73	29.21	29.21	1.25
