Is	Tsa	Ta	T_paredext	Tparedint	Tint	T_n	DeltaT_n
[W/m2]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]	[oC]
0.00	26.92	26.92	28.61	32.59	32.44	29.21	1.25
0.00	26.72	26.72	28.43	32.51	32.36	29.21	1.25
0.00	26.53	26.53	28.25	32.43	32.28	29.21	1.25
0.00	26.34	26.34	28.07	32.34	32.19	29.21	1.25
0.00	26.15	26.15	27.89	32.25	32.10	29.21	1.25
0.00	25.97	25.97	27.72	32.16	32.01	29.21	1.25
0.00	25.79	25.79	27.54	32.07	31.92	29.21	1.25
0.00	25.61	25.61	27.37	31.97	31.83	29.21	1.25
0.00	25.45	25.45	27.20	31.87	31.73	29.21	1.25
0.00	25.28	25.28	27.04	31.77	31.63	29.21	1.25
0.00	25.12	25.12	26.87	31.67	31.53	29.21	1.25
0.00	24.97	24.97	26.71	31.56	31.43	29.21	1.25
0.00	24.82	24.82	26.56	31.46	31.32	29.21	1.25
0.00	24.67	24.67	26.40	31.35	31.22	29.21	1.25
0.00	24.54	24.54	26.25	31.24	31.11	29.21	1.25
0.00	24.40	24.40	26.11	31.13	31.00	29.21	1.25
0.00	24.28	24.28	25.97	31.02	30.89	29.21	1.25
0.00	24.16	24.16	25.83	30.90	30.78	29.21	1.25
0.00	24.04	24.04	25.70	30.79	30.66	29.21	1.25
0.00	23.94	23.94	25.57	30.67	30.55	29.21	1.25
0.00	23.84	23.84	25.44	30.56	30.44	29.21	1.25
0.00	23.75	23.75	25.33	30.44	30.32	29.21	1.25
0.00	23.66	23.66	25.21	30.32	30.20	29.21	1.25
0.00	23.58	23.58	25.10	30.20	30.09	29.21	1.25
0.00	23.51	23.51	25.00	30.09	29.97	29.21	1.25
0.00	23.44	23.44	24.90	29.97	29.85	29.21	1.25
0.00	23.39	23.39	24.81	29.85	29.74	29.21	1.25
0.00	23.34	23.34	24.73	29.73	29.62	29.21	1.25
0.00	23.30	23.30	24.65	29.62	29.50	29.21	1.25
0.00	23.26	23.26	24.57	29.50	29.38	29.21	1.25
0.00	23.23	23.23	24.50	29.38	29.27	29.21	1.25
0.00	23.22	23.22	24.44	29.27	29.15	29.21	1.25
0.00	23.20	23.20	24.39	29.15	29.04	29.21	1.25
0.00	23.20	23.20	24.34	29.04	28.92	29.21	1.25
6.96	23.37	23.21	24.32	28.92	28.81	29.21	1.25
13.92	23.56	23.24	24.33	28.81	28.70	29.21	1.25
20.85	23.76	23.28	24.37	28.70	28.59	29.21	1.25
27.75	23.98	23.34	24.43	28.59	28.48	29.21	1.25
34.61	24.22	23.42	24.52	28.49	28.37	29.21	1.25
41.40	24.48	23.52	24.63	28.38	28.27	29.21	1.25
48.14	24.74	23.63	24.75	28.28	28.17	29.21	1.25
54.79	25.03	23.76	24.89	28.19	28.07	29.21	1.25
61.35	25.33	23.91	25.05	28.10	27.98	29.21	1.25
67.82	25.64	24.07	25.23	28.01	27.89	29.21	1.25
74.17	25.96	24.25	25.42	27.93	27.80	29.21	1.25
80.41	26.30	24.44	25.63	27.85	27.72	29.21	1.25
86.51	26.65	24.65	25.84	27.78	27.65	29.21	1.25
92.48	27.00	24.87	26.08	27.71	27.58	29.21	1.25
98.29	27.37	25.10	26.32	27.65	27.52	29.21	1.25
103.95	27.75	25.35	26.58	27.60	27.46	29.21	1.25
109.43	28.13	25.61	26.84	27.56	27.41	29.21	1.25
114.74	28.52	25.87	27.12	27.52	27.37	29.21	1.25
119.86	28.92	26.15	27.40	27.49	27.34	29.21	1.25
124.79	29.32	26.44	27.70	27.46	27.31	29.21	1.25
129.52	29.72	26.73	28.00	27.45	27.29	29.21	1.25
134.03	30.12	27.03	28.30	27.44	27.27	29.21	1.25
138.33	30.53	27.34	28.62	27.44	27.27	29.21	1.25
142.40	30.94	27.65	28.94	27.44	27.27	29.21	1.25
146.25	31.34	27.97	29.26	27.46	27.28	29.21	1.25
149.85	31.75	28.29	29.59	27.48	27.29	29.21	1.25
153.21	32.15	28.61	29.92	27.50	27.32	29.21	1.25
156.33	32.54	28.94	30.25	27.54	27.35	29.21	1.25
161.82	33.00	29.26	30.59	27.58	27.39	29.21	1.25
166.85	33.44	29.59	30.93	27.63	27.43	29.21	1.25
171.38	33.87	29.91	31.28	27.69	27.49	29.21	1.25
175.40	34.28	30.23	31.64	27.76	27.55	29.21	1.25
178.89	34.68	30.55	31.99	27.83	27.61	29.21	1.25
181.85	35.06	30.86	32.34	27.91	27.69	29.21	1.25
184.28	35.42	31.17	32.68	28.00	27.77	29.21	1.25
186.18	35.77	31.47	33.01	28.09	27.86	29.21	1.25
187.53	36.09	31.76	33.34	28.19	27.95	29.21	1.25
188.34	36.40	32.05	33.65	28.30	28.06	29.21	1.25
188.62	36.68	32.33	33.96	28.41	28.16	29.21	1.25
188.34	36.94	32.59	34.25	28.53	28.28	29.21	1.25
187.53	37.18	32.85	34.53	28.65	28.40	29.21	1.25
186.18	37.39	33.10	34.79	28.78	28.52	29.21	1.25
184.28	37.58	33.33	35.04	28.92	28.65	29.21	1.25
181.85	37.75	33.55	35.27	29.05	28.79	29.21	1.25
178.89	37.88	33.76	35.49	29.20	28.93	29.21	1.25
175.40	38.00	33.95	35.68	29.34	29.07	29.21	1.25
171.38	38.08	34.13	35.86	29.49	29.22	29.21	1.25
166.85	38.14	34.29	36.02	29.64	29.37	29.21	1.25
161.82	38.17	34.44	36.16	29.79	29.52	29.21	1.25
156.33	38.17	34.57	36.28	29.95	29.67	29.21	1.25
153.21	38.22	34.68	36.38	30.11	29.82	29.21	1.25
149.85	38
