#Archivo con datos clim'aticos #
Localidad	Cajamarca, Perú
Longitud	-100.00
Latitud	-7.16
Altura_msn	2750
mes	Enero
tTmax	14.48
Tmax	19.44
Tmin	11.49
Imax	712.85
mes	Febrero
tTmax	14.57
Tmax	19.08
Tmin	11.33
Imax	721.84
mes	Marzo
tTmax	14.55
Tmax	19.15
Tmin	11.16
Imax	686.89
mes	Abril
tTmax	14.50
Tmax	19.16
Tmin	11.17
Imax	699.99
mes	Mayo
tTmax	14.03
Tmax	19.02
Tmin	11.43
Imax	703.40
mes	Junio
tTmax	14.73
Tmax	17.88
Tmin	11.40
Imax	697.20
mes	Julio
tTmax	14.74
Tmax	17.86
Tmin	11.29
Imax	687.87
mes	Agosto
tTmax	14.61
Tmax	18.39
Tmin	11.77
Imax	741.08
mes	Septiembre
tTmax	14.40
Tmax	18.54
Tmin	12.14
Imax	728.00
mes	Octubre
tTmax	15.00
Tmax	18.97
Tmin	11.96
Imax	690.09
mes	Noviembre
tTmax	14.37
Tmax	18.86
Tmin	11.69
Imax	702.56
mes	Diciembre
tTmax	14.92
Tmax	20.14
Tmin	12.16
Imax	651.62
