#Archivo con datos clim'aticos #
Localidad	Apodaca.epw
Longitud	-100.00
Latitud	25.78
Altura_msn	433
mes	Enero
tTmax	14.52
Tmax	22.92
Tmin	11.65
Imax	396.39
mes	Febrero
tTmax	13.29
Tmax	24.47
Tmin	13.15
Imax	479.05
mes	Marzo
tTmax	15.16
Tmax	27.88
Tmin	16.64
Imax	605.16
mes	Abril
tTmax	14.53
Tmax	30.68
Tmin	19.24
Imax	695.30
mes	Mayo
tTmax	15.29
Tmax	34.55
Tmin	23.56
Imax	795.51
mes	Junio
tTmax	15.67
Tmax	35.16
Tmin	25.50
Imax	881.34
mes	Julio
tTmax	15.74
Tmax	36.04
Tmin	25.91
Imax	872.25
mes	Agosto
tTmax	15.00
Tmax	35.93
Tmin	25.73
Imax	575.98
mes	Septiembre
tTmax	15.37
Tmax	32.16
Tmin	23.03
Imax	688.77
mes	Octubre
tTmax	15.03
Tmax	28.53
Tmin	19.80
Imax	569.16
mes	Noviembre
tTmax	15.13
Tmax	24.03
Tmin	15.15
Imax	468.29
mes	Diciembre
tTmax	14.88
Tmax	22.17
Tmin	11.56
Imax	360.41
