#Archivo con datos clim'aticos #
Localidad	Arequipa, Perú
Longitud	-71.60
Latitud	-16.40
Altura_msn	2318
mes	Enero
tTmax	14.42
Tmax	20.95
Tmin	10.68
Imax	967.41
mes	Febrero
tTmax	14.68
Tmax	20.57
Tmin	11.09
Imax	838.54
mes	Marzo
tTmax	14.65
Tmax	21.31
Tmin	10.60
Imax	846.16
mes	Abril
tTmax	14.57
Tmax	21.81
Tmin	9.69
Imax	852.57
mes	Mayo
tTmax	13.94
Tmax	22.08
Tmin	8.61
Imax	771.31
mes	Junio
tTmax	14.20
Tmax	21.56
Tmin	7.70
Imax	716.16
mes	Julio
tTmax	14.45
Tmax	21.58
Tmin	8.04
Imax	754.62
mes	Agosto
tTmax	14.42
Tmax	21.43
Tmin	8.05
Imax	848.58
mes	Septiembre
tTmax	14.37
Tmax	21.67
Tmin	8.66
Imax	960.35
mes	Octubre
tTmax	13.97
Tmax	21.54
Tmin	8.91
Imax	1048.51
mes	Noviembre
tTmax	13.87
Tmax	21.62
Tmin	9.37
Imax	1051.77
mes	Diciembre
tTmax	15.04
Tmax	21.69
Tmin	10.41
Imax	980.83
