#Archivo con datos clim'aticos #
Localidad	CamahourEPW.epw
Longitud	-77.90
Latitud	21.40
Altura_msn	97
mes	Enero
tTmax	14.94
Tmax	26.25
Tmin	19.47
Imax	449.25
mes	Febrero
tTmax	14.61
Tmax	27.54
Tmin	19.50
Imax	537.39
mes	Marzo
tTmax	14.55
Tmax	28.65
Tmin	20.44
Imax	678.31
mes	Abril
tTmax	14.93
Tmax	28.88
Tmin	20.55
Imax	706.83
mes	Mayo
tTmax	14.74
Tmax	29.87
Tmin	22.44
Imax	651.59
mes	Junio
tTmax	14.70
Tmax	30.32
Tmin	23.37
Imax	653.42
mes	Julio
tTmax	14.45
Tmax	31.36
Tmin	24.44
Imax	719.38
mes	Agosto
tTmax	14.42
Tmax	31.46
Tmin	24.23
Imax	691.04
mes	Septiembre
tTmax	14.83
Tmax	30.37
Tmin	23.46
Imax	584.17
mes	Octubre
tTmax	14.42
Tmax	29.83
Tmin	23.66
Imax	515.22
mes	Noviembre
tTmax	14.27
Tmax	27.77
Tmin	21.80
Imax	449.52
mes	Diciembre
tTmax	15.11
Tmax	27.32
Tmin	20.85
Imax	429.98
