#Archivo con datos clim'aticos #
Localidad	Cuajimoloyas, Oax.
Longitud	-97.97
Latitud	17.12
Altura_msn	3160
mes	Enero
tTmax	14.97
Tmax	18.70
Tmin	3.49
Imax	637.57
mes	Febrero
tTmax	15.36
Tmax	20.45
Tmin	4.81
Imax	761.62
mes	Marzo
tTmax	15.35
Tmax	21.85
Tmin	6.85
Imax	796.93
mes	Abril
tTmax	14.77
Tmax	22.72
Tmin	8.36
Imax	827.19
mes	Mayo
tTmax	15.10
Tmax	21.49
Tmin	9.21
Imax	773.71
mes	Junio
tTmax	14.90
Tmax	19.15
Tmin	9.20
Imax	701.19
mes	Julio
tTmax	15.23
Tmax	18.65
Tmin	8.85
Imax	726.17
mes	Agosto
tTmax	15.13
Tmax	19.13
Tmin	8.77
Imax	684.36
mes	Septiembre
tTmax	14.87
Tmax	18.02
Tmin	8.51
Imax	619.25
mes	Octubre
tTmax	14.52
Tmax	18.89
Tmin	7.45
Imax	596.92
mes	Noviembre
tTmax	14.53
Tmax	18.76
Tmin	5.07
Imax	606.74
mes	Diciembre
tTmax	15.79
Tmax	18.96
Tmin	3.90
Imax	574.65
