#Archivo con datos clim'aticos #
Localidad	Huejutla, Hidalgo
Longitud	-97.97
Latitud	21.14
Altura_msn	266
mes	Enero
tTmax	14.23
Tmax	22.23
Tmin	15.48
Imax	395.76
mes	Febrero
tTmax	13.64
Tmax	23.44
Tmin	16.24
Imax	465.61
mes	Marzo
tTmax	15.35
Tmax	26.72
Tmin	18.76
Imax	604.22
mes	Abril
tTmax	14.90
Tmax	28.80
Tmin	20.60
Imax	720.55
mes	Mayo
tTmax	14.77
Tmax	30.99
Tmin	23.02
Imax	762.90
mes	Junio
tTmax	15.30
Tmax	30.79
Tmin	23.42
Imax	780.64
mes	Julio
tTmax	14.90
Tmax	30.94
Tmin	23.66
Imax	768.04
mes	Agosto
tTmax	15.19
Tmax	31.29
Tmin	23.61
Imax	779.87
mes	Septiembre
tTmax	14.67
Tmax	29.70
Tmin	22.33
Imax	644.02
mes	Octubre
tTmax	15.06
Tmax	28.43
Tmin	20.85
Imax	518.94
mes	Noviembre
tTmax	14.87
Tmax	25.05
Tmin	17.66
Imax	455.04
mes	Diciembre
tTmax	14.34
Tmax	23.15
Tmin	16.06
Imax	360.08
