#Archivo con datos clim'aticos #
Localidad	Zacatlan, Pue.
Longitud	-97.97
Latitud	19.93
Altura_msn	2091
mes	Enero
tTmax	15.00
Tmax	21.85
Tmin	6.58
Imax	609.17
mes	Febrero
tTmax	15.11
Tmax	23.36
Tmin	7.93
Imax	713.26
mes	Marzo
tTmax	15.71
Tmax	25.43
Tmin	9.71
Imax	806.22
mes	Abril
tTmax	15.07
Tmax	26.14
Tmin	11.40
Imax	839.57
mes	Mayo
tTmax	14.97
Tmax	25.85
Tmin	12.42
Imax	837.74
mes	Junio
tTmax	15.40
Tmax	23.74
Tmin	12.58
Imax	776.75
mes	Julio
tTmax	15.45
Tmax	23.30
Tmin	12.35
Imax	772.73
mes	Agosto
tTmax	15.03
Tmax	23.37
Tmin	12.32
Imax	750.45
mes	Septiembre
tTmax	14.97
Tmax	22.37
Tmin	12.03
Imax	667.12
mes	Octubre
tTmax	14.71
Tmax	23.26
Tmin	10.64
Imax	641.51
mes	Noviembre
tTmax	15.10
Tmax	22.43
Tmin	7.70
Imax	625.33
mes	Diciembre
tTmax	15.85
Tmax	22.33
Tmin	6.97
Imax	560.86
